Pmax (MW),Pmin (MW),Type,Cost ($/MWh),EF,CC,Zone
16,14,Oil,40,0.82,0.98,PL_PA
16,14,Oil,40,0.82,0.98,PL_PA
16,14,Oil,40,0.82,0.98,PL_PA
16,14,Oil,40,0.82,0.98,PL_PA
363.3,122,Coal,23.57,1.01,0.95,BC_PA
405,126,Coal,23.57,1.01,0.95,BC_PA
847.8,365,Coal,23.57,1.01,0.95,BC_PA
18.5,14,Oil,40,0.82,0.98,PL_PA
18.5,14,Oil,40,0.82,0.98,PL_PA
16,13.4,Oil,40,0.82,0.98,AE_PA
16,13.9,Oil,40,0.82,0.98,AE_PA
16,13.8,Oil,40,0.82,0.98,AE_PA
16,12.9,Oil,40,0.82,0.98,AEP_PA
16,12.3,Oil,40,0.82,0.98,AEP_PA
10.4,3,Hydro,50,0,0.5,ME_PA
12,4,Hydro,50,0,0.5,ME_PA
1.4,1,Hydro,50,0,0.5,ME_PA
1.4,1,Hydro,50,0,0.5,ME_PA
66,25,Hydro,50,0,0.5,ME_PA
66,25,Hydro,50,0,0.5,ME_PA
10.4,4,Hydro,50,0,0.5,ME_PA
13.5,4,Hydro,50,0,0.5,ME_PA
10.4,7,Hydro,50,0,0.5,ME_PA
10.4,7,Hydro,50,0,0.5,ME_PA
10.4,4,Hydro,50,0,0.5,ME_PA
10.4,7,Hydro,50,0,0.5,ME_PA
11.4,4,Hydro,50,0,0.5,ME_PA
13.2,4,Hydro,50,0,0.5,ME_PA
16,13.8,Oil,40,0.82,0.98,AEP_PA
16,13.8,Oil,40,0.82,0.98,AEP_PA
18.5,14,Oil,40,0.82,0.98,PN_PA
850.5,165,NGCT,26.3,0.59,0.98,DPL_PA
850.5,165,NGCT,26.3,0.59,0.98,DPL_PA
23.6,18,NGCT,26.3,0.59,0.98,DPL_PA
23.6,17.3,NGCT,26.3,0.59,0.98,DPL_PA
22.3,18,NGCT,26.3,0.59,0.98,DPL_PA
23.6,17.2,NGCT,26.3,0.59,0.98,DPL_PA
864.9,338,Coal,23.57,1.01,0.95,PL_PA
893,342,Coal,23.57,1.01,0.95,PL_PA
23.6,2,Oil,40,0.82,0.98,PL_PA
23.6,2,Oil,40,0.82,0.98,PL_PA
5.5,2.5,Oil,40,0.82,0.98,PL_PA
20,2,Hydro,50,0,0.5,PN_PA
20,2,Hydro,50,0,0.5,PN_PA
18.5,14,Oil,40,0.82,0.98,ME_PA
18.5,14,Oil,40,0.82,0.98,ME_PA
16,13.2,Oil,40,0.82,0.98,PN_PA
16,13.4,Oil,40,0.82,0.98,PN_PA
18.6,5,Oil,40,0.82,0.98,PL_PA
18.6,5,Oil,40,0.82,0.98,PL_PA
18.6,5,Oil,40,0.82,0.98,PL_PA
18.6,5,Oil,40,0.82,0.98,PE_PA
18.6,5,Oil,40,0.82,0.98,PE_PA
18.6,5,Oil,40,0.82,0.98,PE_PA
21.2,5,Oil,40,0.82,0.98,PE_PA
18.6,5,Oil,40,0.82,0.98,ATSI_PA
18.6,5,Oil,40,0.82,0.98,ATSI_PA
391,50,NGCT,26.3,0.59,0.98,ATSI_PA
21.2,5,Oil,40,0.82,0.98,ATSI_PA
391,50,NGCT,26.3,0.59,0.98,ATSI_PA
21.2,5,Oil,40,0.82,0.98,ATSI_PA
21.2,5,Oil,40,0.82,0.98,PL_PA
21.2,5,Oil,40,0.82,0.98,PL_PA
21.2,5,Oil,40,0.82,0.98,PL_PA
21.2,5,Oil,40,0.82,0.98,PL_PA
21.2,5,Oil,40,0.82,0.98,PL_PA
21.2,5,Oil,40,0.82,0.98,PL_PA
"1,499.40",115.8,NuC,35,0,0.99,BC_PA
"1,377.00",117.3,NuC,35,0,0.99,BC_PA
65.8,20,Oil,40,0.82,0.98,PE_PA
65.8,20,Oil,40,0.82,0.98,PE_PA
18.6,5,Oil,40,0.82,0.98,PE_PA
21.2,5,Oil,40,0.82,0.98,PE_PA
18.6,5,Oil,40,0.82,0.98,PE_PA
18.6,5,Oil,40,0.82,0.98,PE_PA
18.6,5,Oil,40,0.82,0.98,PE_PA
18.6,5,Oil,40,0.82,0.98,PE_PA
33,10,Hydro,50,0,0.5,ME_PA
37.5,33,Hydro,50,0,0.5,ME_PA
37.5,33,Hydro,50,0,0.5,ME_PA
37.5,33,Hydro,50,0,0.5,ME_PA
33,10,Hydro,50,0,0.5,ME_PA
32,10,Hydro,50,0,0.5,ME_PA
32,10,Hydro,50,0,0.5,ME_PA
2,0,Hydro,50,0,0.5,ME_PA
2,0,Hydro,50,0,0.5,ME_PA
32,10,Hydro,50,0,0.5,ME_PA
32,10,Hydro,50,0,0.5,ME_PA
32,10,Hydro,50,0,0.5,ME_PA
37.5,33,Hydro,50,0,0.5,ME_PA
37.5,33,Hydro,50,0,0.5,ME_PA
49.9,4,NGCC,18.75,0.4,0.98,AEP_PA
48,30,NGCC,18.75,0.4,0.98,AEP_PA
48,30,NGCC,18.75,0.4,0.98,AEP_PA
38,19.7,Hydro,50,0,0.5,AEP_TN
38.3,19.7,Hydro,50,0,0.5,AEP_TN
29.6,19.7,Hydro,50,0,0.5,AEP_TN
29.7,11.8,Hydro,50,0,0.5,AEP_TN
29.7,11.8,Hydro,50,0,0.5,AEP_TN
191.3,44.8,NGCC,18.75,0.4,0.98,AEP_TN
191.3,44.8,NGCC,18.75,0.4,0.98,AEP_TN
191.3,44.8,NGCC,18.75,0.4,0.98,AEP_TN
423,90.2,NGCC,18.75,0.4,0.98,AEP_TN
38.5,14.6,Hydro,50,0,0.5,AEP_TN
2.8,0.2,Hydro,50,0,0.5,AEP_VA
2.8,0.2,Hydro,50,0,0.5,AEP_VA
2.8,0.2,Hydro,50,0,0.5,AEP_VA
5.4,1,Hydro,50,0,0.5,AEP_VA
5.4,1,Hydro,50,0,0.5,AEP_VA
5.4,1,Hydro,50,0,0.5,AEP_VA
5.4,1,Hydro,50,0,0.5,AEP_VA
18.7,14,Hydro,50,0,0.5,AP_VA
18.7,14,Hydro,50,0,0.5,AP_VA
18.7,14,Hydro,50,0,0.5,AP_VA
18.7,14,Hydro,50,0,0.5,AP_VA
237.5,60,NGCT,26.3,0.59,0.98,AEP_VA
237.5,60,NGCT,26.3,0.59,0.98,AEP_VA
20,23,Hydro,50,0,0.5,AEP_VA
20,23,Hydro,50,0,0.5,AEP_VA
2.4,0.3,Hydro,50,0,0.5,AEP_VA
1.2,0.3,Hydro,50,0,0.5,AEP_VA
2.5,1,Hydro,50,0,0.5,PN_VA
2.5,1,Hydro,50,0,0.5,PN_VA
2.5,1,Hydro,50,0,0.5,PN_VA
2.5,1,Hydro,50,0,0.5,PN_VA
2.5,1,Hydro,50,0,0.5,PN_VA
150.1,160,Hydro,50,0,0.5,AEP_VA
150.1,160,Hydro,50,0,0.5,AEP_VA
2,2,Oil,40,0.82,0.98,DPL_VA
2,2,Oil,40,0.82,0.98,DPL_VA
2,2,Oil,40,0.82,0.98,DPL_VA
2,2,Oil,40,0.82,0.98,DPL_VA
2,2,Oil,40,0.82,0.98,DPL_VA
2,2,Oil,40,0.82,0.98,DPL_VA
27,26.9,Oil,40,0.82,0.98,AP_VA
0.6,0.2,Hydro,50,0,0.5,AP_VA
0.4,0.2,Hydro,50,0,0.5,AP_VA
0.6,0.2,Hydro,50,0,0.5,AP_VA
0.4,0.2,Hydro,50,0,0.5,AP_VA
0.4,0.2,Hydro,50,0,0.5,AP_VA
0.6,0.2,Hydro,50,0,0.5,AP_VA
359,186,Coal,23.57,1.01,0.95,DOM_VA
693.9,400,Coal,23.57,1.01,0.95,DOM_VA
145,68,NGCC,18.75,0.4,0.98,DOM_VA
148,63,NGCC,18.75,0.4,0.98,DOM_VA
74.4,32,NGCC,18.75,0.4,0.98,DOM_VA
79.2,37,NGCC,18.75,0.4,0.98,DOM_VA
1.5,0.4,Hydro,50,0,0.5,AEP_VA
1.5,0.4,Hydro,50,0,0.5,AEP_VA
1.5,0.4,Hydro,50,0,0.5,AEP_VA
1.5,0.4,Hydro,50,0,0.5,AEP_VA
1.5,0.4,Hydro,50,0,0.5,AEP_VA
20.7,3,Oil,40,0.82,0.98,DOM_VA
20.7,3,Oil,40,0.82,0.98,DOM_VA
20.7,3,Oil,40,0.82,0.98,DOM_VA
20.7,3,Oil,40,0.82,0.98,DOM_VA
174,87,NGCC,18.75,0.4,0.98,DOM_VA
174,87,NGCC,18.75,0.4,0.98,DOM_VA
265,116,NGCC,18.75,0.4,0.98,DOM_VA
16,3,Oil,40,0.82,0.98,DOM_VA
16,3,Oil,40,0.82,0.98,DOM_VA
16,3,Oil,40,0.82,0.98,DOM_VA
16,3,Oil,40,0.82,0.98,DOM_VA
16,3,Oil,40,0.82,0.98,DOM_VA
16,3,Oil,40,0.82,0.98,DOM_VA
847.5,189,NuC,35,0,0.99,DOM_VA
847.5,189,NuC,35,0,0.99,DOM_VA
882,190,Oil,40,0.82,0.98,DOM_VA
2.5,0.6,Hydro,50,0,0.5,AEP_VA
2.5,0.6,Hydro,50,0,0.5,AEP_VA
3.7,0.1,Hydro,50,0,0.5,AEP_VA
3.7,0.1,Hydro,50,0,0.5,AEP_VA
3.7,0.1,Hydro,50,0,0.5,AEP_VA
0.3,0.1,Hydro,50,0,0.5,AEP_VA
1,0.3,Hydro,50,0,0.5,AEP_VA
1,0.3,Hydro,50,0,0.5,AP_VA
13.8,13,Hydro,50,0,0.5,DOM_VA
46.8,32,Hydro,50,0,0.5,DOM_VA
46.8,32,Hydro,50,0,0.5,DOM_VA
46.8,32,Hydro,50,0,0.5,DOM_VA
46.8,32,Hydro,50,0,0.5,DOM_VA
46.8,32,Hydro,50,0,0.5,DOM_VA
46.8,32,Hydro,50,0,0.5,DOM_VA
1.1,0,Hydro,50,0,0.5,DOM_VA
1.1,0,Hydro,50,0,0.5,DOM_VA
6.7,6,Hydro,50,0,0.5,AEP_VA
6.7,6,Hydro,50,0,0.5,AEP_VA
0.6,0,Hydro,50,0,0.5,AEP_VA
816.3,300,Coal,23.57,1.01,0.95,AEP_WV
816.3,300,Coal,23.57,1.01,0.95,AEP_WV
"1,300.00",600,Coal,23.57,1.01,0.95,AEP_WV
576,220,Coal,23.57,1.01,0.95,AP_WV
576,220,Coal,23.57,1.01,0.95,AP_WV
684,375,Coal,23.57,1.01,0.95,AP_WV
684,375,Coal,23.57,1.01,0.95,AP_WV
684,375,Coal,23.57,1.01,0.95,AP_WV
816.3,370,Coal,23.57,1.01,0.95,AEP_WV
816.3,410,Coal,23.57,1.01,0.95,AEP_WV
570.2,265,Coal,23.57,1.01,0.95,DOM_WV
570.2,265,Coal,23.57,1.01,0.95,DOM_WV
522,300,Coal,23.57,1.01,0.95,DOM_WV
18.5,5,Oil,40,0.82,0.98,DOM_WV
1.5,0,Oil,40,0.82,0.98,DPL_MD
1.5,0,Oil,40,0.82,0.98,DPL_MD
5.4,0,Oil,40,0.82,0.98,DPL_MD
5.4,0,Oil,40,0.82,0.98,DPL_MD
6.2,0,Oil,40,0.82,0.98,DPL_MD
6.2,0,Oil,40,0.82,0.98,DPL_MD
6.3,0,Oil,40,0.82,0.98,DPL_MD
6.3,0,Oil,40,0.82,0.98,DPL_MD
23.4,1,Hydro,50,0,0.5,AEP_OH
23.4,1,Hydro,50,0,0.5,AEP_OH
23.4,1,Hydro,50,0,0.5,AEP_OH
99.4,78.2,NGCT,26.3,0.59,0.98,AE_NJ
131.8,90,NGCT,26.3,0.59,0.98,AE_NJ
"1,152.00","1,006.00",NuC,35,0,0.99,AEP_MI
"1,133.30","1,053.00",NuC,35,0,0.99,AEP_MI
684,300,Coal,23.57,1.01,0.95,AP_WV
684,300,Coal,23.57,1.01,0.95,AP_WV
23.7,1,Hydro,50,0,0.5,AEP_OH
23.7,1,Hydro,50,0,0.5,AEP_OH
918,50,NuC,35,0,0.99,PEP_MD
932.4,50,NuC,35,0,0.99,PEP_MD
772,440,Coal,23.57,1.01,0.95,AEP_KY
"1,425.60",450,Coal,23.57,1.01,0.95,DEOK_OH
"1,311.60",133,NuC,35,0,0.99,ATSI_OH
"1,224.90",657.1,NuC,35,0,0.99,CE_IL
"1,224.90",657.6,NuC,35,0,0.99,CE_IL
"1,224.90",643.5,NuC,35,0,0.99,AP_IL
"1,224.90",646.7,NuC,35,0,0.99,AP_IL
923.4,94,NuC,35,0,0.99,PL_PA
923.4,93,NuC,35,0,0.99,PL_PA
357.6,145,Coal,23.57,1.01,0.95,EKPC_KY
592.1,280,Coal,23.57,1.01,0.95,EKPC_KY
329.4,180,Coal,23.57,1.01,0.95,EKPC_KY
329.4,180,Coal,23.57,1.01,0.95,EKPC_KY
129,70,NGCT,26.3,0.59,0.98,AEP_IN
129,70,NGCT,26.3,0.59,0.98,AEP_IN
423.5,110,Coal,23.57,1.01,0.95,AEP_IN
423.5,110,Coal,23.57,1.01,0.95,AEP_IN
"1,266.00",170,NuC,35,0,0.99,AEP_PA
"1,266.00",170,NuC,35,0,0.99,AEP_PA
"1,138.50",55,NuC,35,0,0.99,PL_PA
"1,138.50",55,NuC,35,0,0.99,PL_PA
"1,290.70","1,172.00",NuC,35,0,0.99,JC_NJ
925.2,110,NuC,35,0,0.99,ATSI_OH
"1,300.00",500,Coal,23.57,1.01,0.95,AEP_IN
"1,300.00",500,Coal,23.57,1.01,0.95,AEP_IN
979.7,185,NuC,35,0,0.99,DOM_VA
979.7,185,NuC,35,0,0.99,DOM_VA
1,0,Hydro,50,0,0.5,DOM_VA
540,250,Coal,23.57,1.01,0.95,AEP_IN
540,240,Coal,23.57,1.01,0.95,AEP_IN
763.2,75,Coal,23.57,1.01,0.95,AEP_NC
"1,300.00",500,Coal,23.57,1.01,0.95,AEP_WV
3,3,Oil,40,0.82,0.98,DOM_NC
1.2,0.1,Oil,40,0.82,0.98,AP_VA
1.2,0.1,Oil,40,0.82,0.98,AP_VA
0.5,0.1,Oil,40,0.82,0.98,DPL_MD
1,0.1,Oil,40,0.82,0.98,DPL_MD
0.5,0.2,Hydro,50,0,0.5,AP_WV
0.5,0.2,Hydro,50,0,0.5,AP_WV
0.9,0.2,Hydro,50,0,0.5,AP_WV
0.5,0.2,Hydro,50,0,0.5,DOM_WV
0.5,0.2,Hydro,50,0,0.5,DOM_WV
0.8,0.2,Hydro,50,0,0.5,AP_WV
1,0.3,Hydro,50,0,0.5,AP_WV
1,0.3,Hydro,50,0,0.5,AP_WV
4.8,1,Hydro,50,0,0.5,DPL_WV
4.8,1,Hydro,50,0,0.5,DPL_WV
4.8,1,Hydro,50,0,0.5,DPL_WV
4.8,1,Hydro,50,0,0.5,DPL_WV
4.8,1,Hydro,50,0,0.5,DPL_WV
4.8,1,Hydro,50,0,0.5,DPL_WV
14.7,1,Hydro,50,0,0.5,AEP_WV
4.9,1,Hydro,50,0,0.5,AEP_WV
4.9,1,Hydro,50,0,0.5,AEP_WV
1.1,0.8,Oil,40,0.82,0.98,DPL_MD
2.5,1.2,Oil,40,0.82,0.98,DPL_MD
2,1,NGCT,26.3,0.59,0.98,DPL_MD
12.8,3,Hydro,50,0,0.5,ME_PA
12.8,3,Hydro,50,0,0.5,ME_PA
12.8,3,Hydro,50,0,0.5,ME_PA
12.8,3,Hydro,50,0,0.5,ME_PA
27,12,Oil,40,0.82,0.98,AE_NJ
16.3,0,Oil,40,0.82,0.98,DOM_VA
23.8,0,Oil,40,0.82,0.98,DOM_VA
91.9,40,NGCT,26.3,0.59,0.98,DOM_VA
91.9,40,NGCT,26.3,0.59,0.98,DOM_VA
91.9,40,NGCT,26.3,0.59,0.98,DOM_VA
91.9,40,NGCT,26.3,0.59,0.98,DOM_VA
7,2.4,Hydro,50,0,0.5,PN_PA
14.7,6,Hydro,50,0,0.5,PN_PA
38.4,34,NGCT,26.3,0.59,0.98,AE_NJ
38.4,31,NGCT,26.3,0.59,0.98,AE_NJ
122,80,NGCC,18.75,0.4,0.98,PEP_DE
122,80,NGCC,18.75,0.4,0.98,PEP_DE
122,80,NGCC,18.75,0.4,0.98,PEP_DE
200,45,NGCC,18.75,0.4,0.98,PEP_DE
144,80,NGCC,18.75,0.4,0.98,PEP_DE
144,80,NGCC,18.75,0.4,0.98,PEP_DE
144,80,NGCC,18.75,0.4,0.98,PEP_DE
195,45,NGCC,18.75,0.4,0.98,PEP_DE
95.3,4,NGCT,26.3,0.59,0.98,DEOK_OH
95.3,4,NGCT,26.3,0.59,0.98,DEOK_OH
95.3,4,NGCT,26.3,0.59,0.98,DEOK_OH
95.3,4,NGCT,26.3,0.59,0.98,DEOK_OH
95.3,4,NGCT,26.3,0.59,0.98,DEOK_OH
95.3,4,NGCT,26.3,0.59,0.98,DEOK_OH
92.1,40,NGCT,26.3,0.59,0.98,DOM_VA
92.1,40,NGCT,26.3,0.59,0.98,DOM_VA
92.1,40,NGCT,26.3,0.59,0.98,DOM_VA
92.1,40,NGCT,26.3,0.59,0.98,DOM_VA
424,130,Coal,23.57,1.01,0.95,DOM_VA
424,130,Coal,23.57,1.01,0.95,DOM_VA
1.3,0.2,Hydro,50,0,0.5,ATSI_OH
3.9,0.5,Hydro,50,0,0.5,ATSI_OH
112.8,78.2,NGCT,26.3,0.59,0.98,AE_NJ
45.1,0.5,NGCT,26.3,0.59,0.98,DPL_DE
41.4,17,NGCT,26.3,0.59,0.98,AEP_IN
41.4,17,NGCT,26.3,0.59,0.98,AEP_IN
41.4,17,NGCT,26.3,0.59,0.98,AEP_IN
41.4,17,NGCT,26.3,0.59,0.98,AEP_IN
85.9,36,NGCT,26.3,0.59,0.98,AEP_IN
2,1,NGCT,26.3,0.59,0.98,PN_PA
2,1,NGCT,26.3,0.59,0.98,PN_PA
3.2,1,NGCT,26.3,0.59,0.98,PN_PA
1.2,0.2,Oil,40,0.82,0.98,DOM_NC
1.2,0.2,Oil,40,0.82,0.98,DOM_NC
1.1,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.5,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
2,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.6,0.3,Oil,40,0.82,0.98,DOM_VA
1.1,0.5,Hydro,50,0,0.5,CE_IL
1.1,0.5,Hydro,50,0,0.5,CE_IL
1.7,0,Oil,40,0.82,0.98,CE_IL
1.7,0,Oil,40,0.82,0.98,CE_IL
1.7,0,Oil,40,0.82,0.98,CE_IL
21,3,Hydro,50,0,0.5,AEP_WV
21,3,Hydro,50,0,0.5,AEP_WV
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
0.7,0.3,Hydro,50,0,0.5,ATSI_OH
0.9,0.6,Hydro,50,0,0.5,ATSI_OH
0.9,0.6,Hydro,50,0,0.5,ATSI_OH
0.5,0.3,Hydro,50,0,0.5,ATSI_OH
0.5,0.3,Hydro,50,0,0.5,ATSI_OH
0.1,0.1,Hydro,50,0,0.5,ATSI_OH
3,1,Landfill_NG,15,0.39,0.43,PL_PA
3,1,Landfill_NG,15,0.39,0.43,PL_PA
47,18,NGCT,26.3,0.59,0.98,AEP_IL
47,18,NGCT,26.3,0.59,0.98,AEP_IL
47,18,NGCT,26.3,0.59,0.98,AEP_IL
47,18,NGCT,26.3,0.59,0.98,AEP_IL
60.5,25,NGCT,26.3,0.59,0.98,AEP_IN
60.5,25,NGCT,26.3,0.59,0.98,AEP_IN
60.5,25,NGCT,26.3,0.59,0.98,AEP_IN
4.2,2,NGCT,26.3,0.59,0.98,AP_IL
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
32,29,NGCT,26.3,0.59,0.98,DEOK_OH
32,29,NGCT,26.3,0.59,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
12,3,Oil,40,0.82,0.98,DOM_VA
1.8,0.3,Oil,40,0.82,0.98,DOM_VA
1.8,0.3,Oil,40,0.82,0.98,DOM_VA
1.8,0.3,Oil,40,0.82,0.98,DOM_VA
1.8,0.3,Oil,40,0.82,0.98,DOM_VA
1.8,0.3,Oil,40,0.82,0.98,DOM_VA
1.8,0.3,Oil,40,0.82,0.98,DOM_VA
1.1,0.3,Hydro,50,0,0.5,DEOK_OH
1.1,0.3,Hydro,50,0,0.5,DEOK_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,0.2,Oil,40,0.82,0.98,ATSI_OH
198.9,100,NGCT,26.3,0.59,0.98,DPL_MD
175.9,100,NGCT,26.3,0.59,0.98,DPL_MD
198.9,100,NGCT,26.3,0.59,0.98,DPL_MD
198.9,100,NGCT,26.3,0.59,0.98,DPL_MD
171.1,96,NGCT,26.3,0.59,0.98,DOM_VA
171.1,96,NGCT,26.3,0.59,0.98,DOM_VA
171.1,96,NGCT,26.3,0.59,0.98,DOM_VA
84.5,46,NGCT,26.3,0.59,0.98,DOM_VA
84.5,46,NGCT,26.3,0.59,0.98,DOM_VA
84.5,46,NGCT,26.3,0.59,0.98,DOM_VA
84.5,46,NGCT,26.3,0.59,0.98,DOM_VA
171.1,95,NGCT,26.3,0.59,0.98,DOM_VA
178.5,90,NGCT,26.3,0.59,0.98,DOM_VA
170,90,NGCT,26.3,0.59,0.98,DOM_VA
178.5,90,NGCT,26.3,0.59,0.98,DOM_VA
178.5,90,NGCT,26.3,0.59,0.98,DOM_VA
178.5,90,NGCT,26.3,0.59,0.98,DOM_VA
178.5,90,NGCT,26.3,0.59,0.98,DOM_VA
178.5,90,NGCT,26.3,0.59,0.98,DOM_VA
178.5,90,NGCT,26.3,0.59,0.98,DOM_VA
178.5,90,NGCT,26.3,0.59,0.98,DOM_VA
1.8,0.5,Oil,40,0.82,0.98,CE_IL
1.8,0.5,Oil,40,0.82,0.98,CE_IL
198,100,NGCT,26.3,0.59,0.98,AEP_OH
198,100,NGCT,26.3,0.59,0.98,AEP_OH
198,100,NGCT,26.3,0.59,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1,1,Oil,40,0.82,0.98,ATSI_OH
1.1,0.2,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,AEP_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,1.8,Oil,40,0.82,0.98,ATSI_OH
1.8,0.5,Oil,40,0.82,0.98,CE_IL
1.8,0.5,Oil,40,0.82,0.98,CE_IL
1.8,0.5,Oil,40,0.82,0.98,CE_IL
1.8,0.5,Oil,40,0.82,0.98,CE_IL
1.8,0.5,Oil,40,0.82,0.98,CE_IL
2.2,0.5,Oil,40,0.82,0.98,CE_IL
2.2,0.5,Oil,40,0.82,0.98,CE_IL
2,0.2,Oil,40,0.82,0.98,DOM_VA
2,0.2,Oil,40,0.82,0.98,DOM_VA
2,0.2,Oil,40,0.82,0.98,DOM_VA
2,0.2,Oil,40,0.82,0.98,DOM_VA
45,2,NGCT,26.3,0.59,0.98,DPL_DE
51,2,NGCT,26.3,0.59,0.98,DPL_DE
71.2,57.3,NGCT,26.3,0.59,0.98,PE_NJ
68.3,10,Oil,40,0.82,0.98,PL_PA
68.3,10,Oil,40,0.82,0.98,PL_PA
68.3,10,Oil,40,0.82,0.98,PL_PA
68.3,10,Oil,40,0.82,0.98,PL_PA
68.3,10,Oil,40,0.82,0.98,PL_PA
68.3,10,Oil,40,0.82,0.98,PL_PA
68.3,10,Oil,40,0.82,0.98,PL_PA
68.3,10,Oil,40,0.82,0.98,PL_PA
"1,300.00",485,Coal,23.57,1.01,0.95,AEP_OH
"1,300.00",485,Coal,23.57,1.01,0.95,AEP_OH
26.1,30,Hydro,50,0,0.5,PN_PA
637,130,Coal,23.57,1.01,0.95,DUQ_PA
5,1.8,Bio,20,0.99,0.43,DOM_VA
10,4,Bio,20,0.99,0.43,DOM_VA
25,7,Bio,20,0.99,0.43,DOM_VA
15,7,Bio,20,0.99,0.43,DOM_VA
46,10,Bio,20,0.99,0.43,DOM_VA
18,5,NGCC,18.75,0.4,0.98,DPL_DE
50,30,NGCC,18.75,0.4,0.98,DPL_DE
50,30,NGCT,26.3,0.59,0.98,DPL_DE
242.3,50,Coal,23.57,1.01,0.95,PE_NJ
4.4,0,Oil,40,0.82,0.98,ME_PA
95.2,105,NGCC,18.75,0.4,0.98,JC_NJ
45, ,NGCC,18.75,0.4,0.98,JC_NJ
88.4,50,Coal,23.57,1.01,0.95,PL_PA
24.1,4,MSW,15,1.49,0.43,AE_PA
5,2,NGCT,26.3,0.59,0.98,PS_NJ
5.3,2.8,NGCT,26.3,0.59,0.98,PS_NJ
5.3,2.8,NGCT,26.3,0.59,0.98,PS_NJ
6.1,0.5,NGCT,26.3,0.59,0.98,PN_PA
6.1,0.5,NGCT,26.3,0.59,0.98,PN_PA
6.1,0.5,NGCT,26.3,0.59,0.98,PN_PA
6.1,0.5,NGCT,26.3,0.59,0.98,PN_PA
118,77,Coal,23.57,1.01,0.95,PN_PA
95.7,32,Coal,23.57,1.01,0.95,AP_WV
